,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
perk_apotheosis_ghostly_vision,Ghostly Vision,Призрачное зрение,,,,,,,看清幽灵,霊感,,,,
perk_apotheosis_ghostly_vision_description,You can see things which aren't there.. Without assistance.,"Вы можете видеть вещи, которых тут нет... Без посторонней помощи.",,,,,,,你可以看到不存在的事物.. 并且不需要借助任何东西。,見えないものが見えるようになる,,,,
perk_apotheosis_ghostly_vision,Ghostly Vision,Призрачное зрение,,,,,,,看清幽灵,霊感,,,,
perk_apotheosis_ghostly_vision_description,You can see things which aren't there.. Without assistance.,"Вы можете видеть вещи, которых тут нет... Без посторонней помощи.",,,,,,,你可以看到不存在的事物.. 并且不需要借助任何东西。,見えないものが見えるようになる,,,,
perk_apotheosis_rage_aura,Enraging Aura,Раздражающая аура,,,,,,,激怒气场,オラオラオーラ,,,,
perk_apotheosis_rage_aura_description,Creatures are sent into a blind rage by your presence.,От вашего присутствия существа впадают в слепую ярость.,,,,,,,你的存在令周围的生物陷入盲目的愤怒,周囲の生物が激しく怒り出す,,,,
book_apotheosis_divine_liquid,Tablet of Apotheosis,Скрижаль Апофеоза,,,,,,,翡翠石板 - 神化,神性の碑文,,,,
book_apotheosis_divine_liquid_description,"Long have been the days since the universe was in union. \nWhen Slime was no different from above and below was no different from slime. \nSome species have adapted to these changes however, excessively, and became attuned to the pinnacles and depths of this world. \nThey must distance themselves with truly divine purpose.","Давно прошли те дни, когда вселенная была в единстве. \nКогда слизь не отличалась от верха, а низ не отличался от слизи. \nНекоторые виды, однако, чрезмерно приспособились к этим изменениям и стали сонастроены с вершинами и глубинами этого мира. \nОни должны отдаляться с истинно божественной целью.",,,,,,,宇宙如一的日子早已不再。\n彼时，上方粘液怪如同下方，下方的粘液怪亦无异于上方。\n如今，有些物种适应了世界的变化，却过为已甚，竟与这个世界的高峰和深谷相协。\n它们必须与真正的神圣目的保持距离。,,,,,
book_apotheosis_materia_conversion_description,"Transmutation.. Materia Conversion. \nFor years I've dedicated my life to this art, only to foolishly trick myself. \nFor years I thought Materia Conversion could only be used on solid matter, \nBut only now in my last few days I've come to learn it can be harnessed on magic as well. \nI can only hope the fruits of my labour will not be forgotten.","Трансмутация. Превращение материи. \nГодами я посвящал свою жизнь этому искусству, но только для того, чтобы обмануть самого себя. \nДолгие годы я думал, что преобразование материи можно использовать только в твёрдой материи, \nНо только теперь, в последние дни, я узнал, что его можно использовать и в магии. \nОстаётся надеяться, что плоды моего труда не будут забыты.",,,,,,,"金属嬗变...物质转换。\n多年来我一直致力于这项技艺，到头来却只是被自己的愚蠢所蒙蔽。\n这么多年，我以为物质转换只能用于固体物质，\n但直到现在，在我最后的时日,方才明白它也可以用于魔法。\n我希望我的研究成果不会被遗忘。",,,,,
book_apotheosis_trophy_room,Alchemist's Notes,Записи алхимика,,,,,,,炼金术士的笔记,錬金術師のメモ,,,,
